FundingOrgName,ProjectReference,LeadROName,Department,ProjectCategory,PISurname,PIFirstName,PIOtherNames,PI ORCID iD,StudentSurname,StudentFirstName,StudentOtherNames,Student ORCID iD,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region,Status,Classifications 1,Classifications 2,Classifications 3,Classifications 4,Classifications 5,Other Classifications,GTRProjectUrl,ProjectId,FundingOrgId,LeadROId,PIId
AHRC,AH/G012733/2,University of Birmingham,History and Cultures,Research Grant,Rose,Jeffrey,Ian,,,,,,"Archaeological and Palaeoenvironmental Investigation of Upper Pleistocene human occupation in the Dhofar Mountains, southern Arabia",01/01/2010,31/10/2012,129650,,,Closed,Archaeology Of Human Origins,,,,,,https://gtr.ukri.org:443/projects?ref=AH/G012733/2,8063614F-4852-4630-87A9-5F87FD0A4D97,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,818CD6C9-61EE-41F2-9F37-0C7A8F43E25D,2320764E-E59B-4D27-9BD3-6AD3A486FBEB
AHRC,AH/G012733/1,Oxford Brookes University,Faculty of Health and Life Sciences,Research Grant,Rose,Jeffrey,Ian,,,,,,"Archaeological and Palaeoenvironmental Investigation of Upper Pleistocene human occupation in the Dhofar Mountains, southern Arabia",01/10/2009,01/01/2010,126284,,,Closed,Archaeology Of Human Origins,,,,,,https://gtr.ukri.org:443/projects?ref=AH/G012733/1,72189441-4AF3-415A-B134-9D6CF774EFF6,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,CEB496D0-8DC8-4905-8F65-D1ACDAD75C9B,2320764E-E59B-4D27-9BD3-6AD3A486FBEB
AHRC,AH/I02528X/1,University of Liverpool,Archaeology Classics and Egyptology,Fellowship,Barham,Lawrence Stephen,,,,,,,From hand to handle: the first industrial revolution,01/10/2011,31/01/2012,35433,,,Closed,Archaeology Of Human Origins,,,,,,https://gtr.ukri.org:443/projects?ref=AH/I02528X/1,F481B88E-2C10-4693-AEB1-E60EF7EB813C,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,A0A585E0-6B0D-4643-A3A6-47943B4CBFEF,BFFA0EE4-F99A-4912-8A24-9AF84549ED8A
NERC,NE/K014560/1,Aberystwyth University,Inst of Geography and Earth Sciences,Research Grant,Lamb,Henry,Francis,,,,,,"A 500,000-year environmental record from Chew Bahir, south Ethiopia: testing hypotheses of climate-driven human evolution, innovation, and dispersal",01/10/2014,30/08/2019,578768,,,Closed,Archaeology Of Human Origins,Palaeoenvironments,Quaternary Science,,,,https://gtr.ukri.org:443/projects?ref=NE/K014560/1,72F482C7-D988-47F8-B9CD-6A2017A8A377,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,E4757A6E-7326-472B-9979-B47D77A65446,F151E41A-F770-4827-AD03-4D6587095E5B
NERC,NE/K012711/1,University of St Andrews,Earth and Environmental Sciences,Research Grant,Bates,Charles,Richard,,,,,,"A 500,000-year environmental record from Chew Bahir, south Ethiopia: testing hypotheses of climate-driven human evolution, innovation, and dispersal",01/11/2013,31/10/2016,107745,,,Closed,Archaeology Of Human Origins,Palaeoenvironments,Quaternary Science,,,,https://gtr.ukri.org:443/projects?ref=NE/K012711/1,95C3215B-E197-4E4F-972F-8B86B43AF3A2,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,C0E4FAD2-3C8B-410A-B6DF-3B9B9E433060,60A30055-3ECD-4714-A88D-32BBEC066718
NERC,NE/K011871/1,NERC British Geological Survey,NERC Isotope Geosciences Laboratory,Research Grant,Leng,Melanie,Jane,,,,,,"A 500,000-year environmental record from Chew Bahir, south Ethiopia: testing hypotheses of climate-driven human evolution, innovation, and dispersal",01/10/2014,30/09/2017,188511,,,Closed,Archaeology Of Human Origins,Palaeoenvironments,Quaternary Science,,,,https://gtr.ukri.org:443/projects?ref=NE/K011871/1,D892CFDB-BABC-4D60-A2EC-43415ADEF2A4,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,7ADE0AB2-1050-4241-987D-F3B1C3322E05,A13D535A-E1E5-4E70-93F3-A1CDCABB459B
NERC,NE/K015109/1,University of Oxford,Archaeology and History of Art Res Lab,Research Grant,Ramsey,Christopher,Bronk,,,,,,"A 500,000-year environmental record from Chew Bahir, south Ethiopia: testing hypotheses of climate-driven human evolution, innovation, and dispersal",01/10/2014,28/02/2018,87162,,,Closed,Archaeology Of Human Origins,Palaeoenvironments,Quaternary Science,,,,https://gtr.ukri.org:443/projects?ref=NE/K015109/1,3F40ADB0-E7F7-4880-9FC4-5747174EB0BD,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,416A0E93-3D1F-4EE6-A6C2-AD5475507831
AHRC,AH/N008804/1,University of Liverpool,Archaeology Classics and Egyptology,Research Grant,Barham,Lawrence Stephen,,,,,,,Investigating the Deep Roots of Human Behaviour,01/05/2017,31/07/2021,755011,,,Active,Archaeology Of Human Origins,Quaternary Science,Science-Based Archaeology,,,,https://gtr.ukri.org:443/projects?ref=AH/N008804/1,B759610C-6C5F-41BE-BF0E-1618C8B7814F,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,A0A585E0-6B0D-4643-A3A6-47943B4CBFEF,BFFA0EE4-F99A-4912-8A24-9AF84549ED8A
NERC,NE/J012394/1,University College London,Institute of Archaeology,Research Grant,Pope,Matthew,Ian,,,,,,La Cotte de St Brelade: Urgent Rescue and Stabilisation Project,01/10/2011,30/11/2011,51520,,,Closed,Archaeology Of Human Origins,Quaternary Science,Science-Based Archaeology,,,,https://gtr.ukri.org:443/projects?ref=NE/J012394/1,1B2A5075-28A2-45B1-99B6-1AE339378B56,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,3A5E126D-C175-4730-9B7B-E6D8CF447F83,BBB2B5AF-5CAF-47B0-9938-70455E7E0C9C
NERC,NE/T001313/1,University of Oxford,School of Archaeology,Research Grant,Schwenninger,Jean-Luc,,,,,,,Improving the chronology of early human evolution,01/01/2020,31/12/2022,501868,,,Active,Archaeology Of Human Origins,Quaternary Science,Science-Based Archaeology,,,,https://gtr.ukri.org:443/projects?ref=NE/T001313/1,F38A8E79-D35D-4D05-8DAD-7CAA2779B741,8A03ED41-E67D-4F4A-B5DD-AAFB272B6471,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,4C195E33-AF9D-40BC-8574-4167F06535A5
